Date,Time,Nitrogen dioxide,Status,PM10 particulate matter (Hourly measured),Status2
2019-03-01,01:00:00,10.87512,V ugm-3,16.1,V ugm-3 (TEOM FDMS)
2019-03-01,02:00:00,15.95748,V ugm-3,21.9,V ugm-3 (TEOM FDMS)
2019-03-01,03:00:00,11.38031,V ugm-3,24.1,V ugm-3 (TEOM FDMS)
2019-03-01,04:00:00,14.32679,V ugm-3,25.3,V ugm-3 (TEOM FDMS)
2019-03-01,05:00:00,12.6101,V ugm-3,31.9,V ugm-3 (TEOM FDMS)
2019-03-01,06:00:00,15.71974,V ugm-3,30.0,V ugm-3 (TEOM FDMS)
2019-03-01,07:00:00,37.31443,V ugm-3,31.3,V ugm-3 (TEOM FDMS)
2019-03-01,08:00:00,46.28878,V ugm-3,35.5,V ugm-3 (TEOM FDMS)
2019-03-01,09:00:00,48.89365,V ugm-3,36.5,V ugm-3 (TEOM FDMS)
2019-03-01,10:00:00,41.65722,V ugm-3,28.1,V ugm-3 (TEOM FDMS)
2019-03-01,11:00:00,41.05382,V ugm-3,28.5,V ugm-3 (TEOM FDMS)
2019-03-01,12:00:00,38.62238,V ugm-3,36.7,V ugm-3 (TEOM FDMS)
2019-03-01,13:00:00,37.67826,V ugm-3,38.0,V ugm-3 (TEOM FDMS)
2019-03-01,14:00:00,40.02701,V ugm-3,37.3,V ugm-3 (TEOM FDMS)
2019-03-01,15:00:00,37.29407,V ugm-3,32.9,V ugm-3 (TEOM FDMS)
2019-03-01,16:00:00,40.95142,V ugm-3,34.7,V ugm-3 (TEOM FDMS)
2019-03-01,17:00:00,40.71676,V ugm-3,33.5,V ugm-3 (TEOM FDMS)
2019-03-01,18:00:00,42.59049,V ugm-3,39.5,V ugm-3 (TEOM FDMS)
2019-03-01,19:00:00,51.04632,V ugm-3,43.0,V ugm-3 (TEOM FDMS)
2019-03-01,20:00:00,43.70578,V ugm-3,47.2,V ugm-3 (TEOM FDMS)
2019-03-01,21:00:00,39.5994,V ugm-3,46.4,V ugm-3 (TEOM FDMS)
2019-03-01,22:00:00,35.82239,V ugm-3,47.1,V ugm-3 (TEOM FDMS)
2019-03-01,23:00:00,35.78181,V ugm-3,45.9,V ugm-3 (TEOM FDMS)
2019-03-01,1900-01-01 00:00:00,36.04664,V ugm-3,41.5,V ugm-3 (TEOM FDMS)
2019-03-02,01:00:00,33.02911,V ugm-3,32.7,V ugm-3 (TEOM FDMS)
2019-03-02,02:00:00,22.5827,V ugm-3,30.7,V ugm-3 (TEOM FDMS)
2019-03-02,03:00:00,15.84724,V ugm-3,28.2,V ugm-3 (TEOM FDMS)
2019-03-02,04:00:00,13.93164,V ugm-3,24.3,V ugm-3 (TEOM FDMS)
2019-03-02,05:00:00,11.03405,V ugm-3,22.0,V ugm-3 (TEOM FDMS)
2019-03-02,06:00:00,12.13912,V ugm-3,17.7,V ugm-3 (TEOM FDMS)
2019-03-02,07:00:00,16.59368,V ugm-3,20.9,V ugm-3 (TEOM FDMS)
2019-03-02,08:00:00,19.60928,V ugm-3,21.2,V ugm-3 (TEOM FDMS)
2019-03-02,09:00:00,25.18816,V ugm-3,22.4,V ugm-3 (TEOM FDMS)
2019-03-02,10:00:00,25.76196,V ugm-3,22.8,V ugm-3 (TEOM FDMS)
2019-03-02,11:00:00,21.4523,V ugm-3,19.8,V ugm-3 (TEOM FDMS)
2019-03-02,12:00:00,27.67158,V ugm-3,16.0,V ugm-3 (TEOM FDMS)
2019-03-02,13:00:00,18.27905,V ugm-3,15.4,V ugm-3 (TEOM FDMS)
2019-03-02,14:00:00,14.92412,V ugm-3,9.3,V ugm-3 (TEOM FDMS)
2019-03-02,15:00:00,16.32454,V ugm-3,6.0,V ugm-3 (TEOM FDMS)
2019-03-02,16:00:00,13.40506,V ugm-3,7.4,V ugm-3 (TEOM FDMS)
2019-03-02,17:00:00,14.46727,V ugm-3,18.7,V ugm-3 (TEOM FDMS)
2019-03-02,18:00:00,14.51996,V ugm-3,18.8,V ugm-3 (TEOM FDMS)
2019-03-02,19:00:00,14.08852,V ugm-3,16.0,V ugm-3 (TEOM FDMS)
2019-03-02,20:00:00,16.63398,V ugm-3,20.0,V ugm-3 (TEOM FDMS)
2019-03-02,21:00:00,10.92496,V ugm-3,9.5,V ugm-3 (TEOM FDMS)
2019-03-02,22:00:00,8.61316,V ugm-3,13.8,V ugm-3 (TEOM FDMS)
2019-03-02,23:00:00,6.8927,V ugm-3,12.8,V ugm-3 (TEOM FDMS)
2019-03-02,1900-01-01 00:00:00,9.50978,V ugm-3,15.0,V ugm-3 (TEOM FDMS)
2019-03-03,01:00:00,13.80203,V ugm-3,16.3,V ugm-3 (TEOM FDMS)
2019-03-03,02:00:00,5.00575,V ugm-3,20.4,V ugm-3 (TEOM FDMS)
2019-03-03,03:00:00,4.04303,V ugm-3,17.3,V ugm-3 (TEOM FDMS)
2019-03-03,04:00:00,3.37538,V ugm-3,20.3,V ugm-3 (TEOM FDMS)
2019-03-03,05:00:00,4.81551,V ugm-3,14.9,V ugm-3 (TEOM FDMS)
2019-03-03,06:00:00,4.39828,V ugm-3,18.2,V ugm-3 (TEOM FDMS)
2019-03-03,07:00:00,4.8309,V ugm-3,18.1,V ugm-3 (TEOM FDMS)
2019-03-03,08:00:00,8.59713,V ugm-3,21.0,V ugm-3 (TEOM FDMS)
2019-03-03,09:00:00,17.22725,V ugm-3,20.0,V ugm-3 (TEOM FDMS)
2019-03-03,10:00:00,23.62553,V ugm-3,22.6,V ugm-3 (TEOM FDMS)
2019-03-03,11:00:00,16.66296,V ugm-3,21.9,V ugm-3 (TEOM FDMS)
2019-03-03,12:00:00,14.83745,V ugm-3,17.0,V ugm-3 (TEOM FDMS)
2019-03-03,13:00:00,18.40023,V ugm-3,13.8,V ugm-3 (TEOM FDMS)
2019-03-03,14:00:00,21.52923,V ugm-3,18.2,V ugm-3 (TEOM FDMS)
2019-03-03,15:00:00,24.11009,V ugm-3,14.8,V ugm-3 (TEOM FDMS)
2019-03-03,16:00:00,35.40504,V ugm-3,19.1,V ugm-3 (TEOM FDMS)
2019-03-03,17:00:00,25.37827,V ugm-3,21.7,V ugm-3 (TEOM FDMS)
2019-03-03,18:00:00,21.82786,V ugm-3,20.1,V ugm-3 (TEOM FDMS)
2019-03-03,19:00:00,13.02883,V ugm-3,18.6,V ugm-3 (TEOM FDMS)
2019-03-03,20:00:00,9.55992,V ugm-3,8.2,V ugm-3 (TEOM FDMS)
2019-03-03,21:00:00,7.0395,V ugm-3,11.9,V ugm-3 (TEOM FDMS)
2019-03-03,22:00:00,4.74237,V ugm-3,10.4,V ugm-3 (TEOM FDMS)
2019-03-03,23:00:00,5.09147,V ugm-3,11.9,V ugm-3 (TEOM FDMS)
2019-03-03,1900-01-01 00:00:00,3.00678,V ugm-3,13.1,V ugm-3 (TEOM FDMS)
2019-03-04,01:00:00,1.0045,V ugm-3,11.2,V ugm-3 (TEOM FDMS)
2019-03-04,02:00:00,1.18848,V ugm-3,7.0,V ugm-3 (TEOM FDMS)
2019-03-04,03:00:00,1.46435,V ugm-3,8.8,V ugm-3 (TEOM FDMS)
2019-03-04,04:00:00,1.15894,V ugm-3,8.1,V ugm-3 (TEOM FDMS)
2019-03-04,05:00:00,5.61946,V ugm-3,6.2,V ugm-3 (TEOM FDMS)
2019-03-04,06:00:00,5.27734,V ugm-3,8.0,V ugm-3 (TEOM FDMS)
2019-03-04,07:00:00,9.92977,V ugm-3,9.2,V ugm-3 (TEOM FDMS)
2019-03-04,08:00:00,16.73018,V ugm-3,10.5,V ugm-3 (TEOM FDMS)
2019-03-04,09:00:00,10.57988,V ugm-3,11.4,V ugm-3 (TEOM FDMS)
2019-03-04,10:00:00,8.16921,V ugm-3,9.1,V ugm-3 (TEOM FDMS)
2019-03-04,11:00:00,5.09944,V ugm-3,12.4,V ugm-3 (TEOM FDMS)
2019-03-04,12:00:00,5.32088,V ugm-3,12.4,V ugm-3 (TEOM FDMS)
2019-03-04,13:00:00,7.2754,V ugm-3,13.4,V ugm-3 (TEOM FDMS)
2019-03-04,14:00:00,11.13185,V ugm-3,14.5,V ugm-3 (TEOM FDMS)
2019-03-04,15:00:00,11.97457,V ugm-3,6.3,V ugm-3 (TEOM FDMS)
2019-03-04,16:00:00,14.9987,V ugm-3,12.3,V ugm-3 (TEOM FDMS)
2019-03-04,17:00:00,16.77869,V ugm-3,12.0,V ugm-3 (TEOM FDMS)
2019-03-04,18:00:00,18.86994,V ugm-3,9.5,V ugm-3 (TEOM FDMS)
2019-03-04,19:00:00,22.0746,V ugm-3,9.9,V ugm-3 (TEOM FDMS)
2019-03-04,20:00:00,24.57867,V ugm-3,12.2,V ugm-3 (TEOM FDMS)
2019-03-04,21:00:00,13.19913,V ugm-3,10.3,V ugm-3 (TEOM FDMS)
2019-03-04,22:00:00,9.76589,V ugm-3,8.6,V ugm-3 (TEOM FDMS)
2019-03-04,23:00:00,8.46217,V ugm-3,7.9,V ugm-3 (TEOM FDMS)
2019-03-04,1900-01-01 00:00:00,13.19388,V ugm-3,7.6,V ugm-3 (TEOM FDMS)
2019-03-05,01:00:00,8.55747,V ugm-3,6.5,V ugm-3 (TEOM FDMS)
2019-03-05,02:00:00,11.88695,V ugm-3,9.3,V ugm-3 (TEOM FDMS)
2019-03-05,03:00:00,13.5735,V ugm-3,8.0,V ugm-3 (TEOM FDMS)
2019-03-05,04:00:00,12.17972,V ugm-3,7.2,V ugm-3 (TEOM FDMS)
2019-03-05,05:00:00,12.35645,V ugm-3,8.2,V ugm-3 (TEOM FDMS)
2019-03-05,06:00:00,13.02336,V ugm-3,6.6,V ugm-3 (TEOM FDMS)
2019-03-05,07:00:00,28.24706,V ugm-3,6.1,V ugm-3 (TEOM FDMS)
2019-03-05,08:00:00,28.7157,V ugm-3,9.3,V ugm-3 (TEOM FDMS)
2019-03-05,09:00:00,30.50336,V ugm-3,9.4,V ugm-3 (TEOM FDMS)
2019-03-05,10:00:00,30.61256,V ugm-3,14.6,V ugm-3 (TEOM FDMS)
2019-03-05,11:00:00,28.77562,V ugm-3,15.7,V ugm-3 (TEOM FDMS)
2019-03-05,12:00:00,28.25671,V ugm-3,38.9,V ugm-3 (TEOM FDMS)
2019-03-05,13:00:00,21.44608,V ugm-3,27.6,V ugm-3 (TEOM FDMS)
2019-03-05,14:00:00,19.94719,V ugm-3,16.6,V ugm-3 (TEOM FDMS)
