Nitrogen dioxide,Status_V ugm-3,PM10 particulate matter (Hourly measured),Status2_V ugm-3 (INDIC.GRAV),Status2_V ugm-3 (TEOM FDMS),Status2_V ugm-3 (VCM)
10.87512,1,16.1,0,1,0
15.95748,1,21.9,0,1,0
11.38031,1,24.1,0,1,0
14.32679,1,25.3,0,1,0
12.6101,1,31.9,0,1,0
15.71974,1,30.0,0,1,0
37.31443,1,31.3,0,1,0
46.28878,1,35.5,0,1,0
48.89365,1,36.5,0,1,0
41.65722,1,28.1,0,1,0
41.05382,1,28.5,0,1,0
38.62238,1,36.7,0,1,0
37.67826,1,38.0,0,1,0
40.02701,1,37.3,0,1,0
37.29407,1,32.9,0,1,0
40.95142,1,34.7,0,1,0
40.71676,1,33.5,0,1,0
42.59049,1,39.5,0,1,0
51.04632,1,43.0,0,1,0
43.70578,1,47.2,0,1,0
39.5994,1,46.4,0,1,0
35.82239,1,47.1,0,1,0
35.78181,1,45.9,0,1,0
36.04664,1,41.5,0,1,0
33.02911,1,32.7,0,1,0
22.5827,1,30.7,0,1,0
15.84724,1,28.2,0,1,0
13.93164,1,24.3,0,1,0
11.03405,1,22.0,0,1,0
12.13912,1,17.7,0,1,0
16.59368,1,20.9,0,1,0
19.60928,1,21.2,0,1,0
25.18816,1,22.4,0,1,0
25.76196,1,22.8,0,1,0
21.4523,1,19.8,0,1,0
27.67158,1,16.0,0,1,0
18.27905,1,15.4,0,1,0
14.92412,1,9.3,0,1,0
16.32454,1,6.0,0,1,0
13.40506,1,7.4,0,1,0
14.46727,1,18.7,0,1,0
14.51996,1,18.8,0,1,0
14.08852,1,16.0,0,1,0
16.63398,1,20.0,0,1,0
10.92496,1,9.5,0,1,0
8.61316,1,13.8,0,1,0
6.8927,1,12.8,0,1,0
9.50978,1,15.0,0,1,0
13.80203,1,16.3,0,1,0
5.00575,1,20.4,0,1,0
4.04303,1,17.3,0,1,0
3.37538,1,20.3,0,1,0
4.81551,1,14.9,0,1,0
4.39828,1,18.2,0,1,0
4.8309,1,18.1,0,1,0
8.59713,1,21.0,0,1,0
17.22725,1,20.0,0,1,0
23.62553,1,22.6,0,1,0
16.66296,1,21.9,0,1,0
14.83745,1,17.0,0,1,0
18.40023,1,13.8,0,1,0
21.52923,1,18.2,0,1,0
24.11009,1,14.8,0,1,0
35.40504,1,19.1,0,1,0
25.37827,1,21.7,0,1,0
